"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"WTI","W&T Offshore, Inc.","7.63","577259537.54","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wti",
"WPC","W.P. Carey Inc.","71.52","7439177688.96","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wpc",
"WRB","W.R. Berkley Corporation","50.52","6411469859.76","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wrb",
"WRB^B","W.R. Berkley Corporation","23.7044","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^b",
"GRA","W.R. Grace & Co.","95.73","7067000450.49","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gra",
"GWW","W.W. Grainger, Inc.","257.81","17578341987.01","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/gww",
"WNC","Wabash National Corporation","11.65","803660128.3","n/a","1991","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","104.91","6177450674.85","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wbc",
"WDR","Waddell & Reed Financial, Inc.","48.96","4093744083.84","n/a","1998","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/wdr",
"WGBS","WaferGen Bio-systems, Inc.","3.16","18551705.88","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wgbs",
"WAGE","WageWorks, Inc.","59.91","2117958869.13","n/a","2012","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wage",
"WAG","Walgreen Co.","73.23","69596831881.47","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/wag",
"WD","Walker & Dunlop, Inc.","16.92","558151816.32","n/a","2010","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wd",
"WMT","Wal-Mart Stores, Inc.","85.16","274486851458.2","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/wmt",
"DIS","Walt Disney Company (The)","92.89","157514580113.38","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dis",
"WLT","Walter Energy, Inc.","1.48","100755629.44","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/wlt",
"WAC","Walter Investment Management Corp.","18.54","699145865.82","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wac",
"WRES","Warren Resources, Inc.","2.15","173608649.35","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wres",
"WAFD","Washington Federal, Inc.","22.14","2173735465.38","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wafd",
