"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ZFGN","Zafgen, Inc.","25.84","586759474.4","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","5.97","181099579.86","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/zagg",
"ZFC","ZAIS Financial Corp.","17.69","141004973.34","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/zfc",
"ZAYO","Zayo Group Holdings, Inc.","29.2","6979053426.8","n/a","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zayo",
"ZAZA","ZaZa Energy Corporation","1.71","20761291.26","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zaza",
"ZBB","ZBB Energy Corporation","0.56","21865177.04","n/a","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/zbb",
"ZBRA","Zebra Technologies Corporation","78.1","3976989377.9","n/a","1991","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/zbra",
"ZLTQ","ZELTIQ Aesthetics, Inc.","29.39","1112550632.26","n/a","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/zltq",
"ZEN","Zendesk, Inc.","24.63","1793919276.75","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/zen",
"ZEP","Zep Inc.","15.37","354847604.99","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/zep",
"ZPIN","Zhaopin Limited","16.06","802054547.8","n/a","2014","Technology","Professional Services","http://www.nasdaq.com/symbol/zpin",
"ZHNE","Zhone Technologies, Inc.","1.79","58171539.93","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zhne",
"Z","Zillow, Inc.","108.9","3751171469.1","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
"ZMH","Zimmer Holdings, Inc.","114.91","19460448720.21","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/zmh",
"ZN","Zion Oil & Gas Inc","1.47","51876548.43","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZB^A","Zions Bancorporation","21.7699","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^a",
"ZB^F","Zions Bancorporation","27.15","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^f",
"ZB^G","Zions Bancorporation","25.59","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^g",
"ZB^H","Zions Bancorporation","24.099","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^h",
"ZBK","Zions Bancorporation","26.9","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zbk",
"ZION","Zions Bancorporation","28.39","5761246605.89","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zion",
"ZIONW","Zions Bancorporation","4.11","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionw",
"ZIONZ","Zions Bancorporation","2.8","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionz",
"ZIOP","ZIOPHARM Oncology Inc","4.8","493015123.2","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ziop",
"ZIXI","Zix Corporation","3.61","205117315.61","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/zixi",
"ZOES","Zoe's Kitchen, Inc.","28.32","545719206.72","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/zoes",
"ZTS","Zoetis Inc.","43.51","21812643918.93","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zts",
"ZGNX","Zogenix, Inc.","1.16","177526476.56","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zgnx",
"ZSAN","Zosano Pharma Corporation","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zsan",
"ZSPH","ZS Pharma, Inc.","44.47","925834226.53","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zsph",
"ZU","zulily, inc.","25.51","3197331002.78","n/a","2013","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/zu",
"ZUMZ","Zumiez Inc.","37.31","1090345798.36","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/zumz",
"ZA","Zuoan Fashion Limited","0.67","18638748.76","n/a","2011","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/za",
"ZF","Zweig Fund, Inc. (The)","15.4301","319026467.5493","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/zf",
"ZTR","Zweig Total Return Fund, Inc. (The)","13.919","482200565.946","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/ztr",
"ZNGA","Zynga Inc.","2.695","2433194222.305","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/znga",
