"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"CFFI","C&F Financial Corporation","39","132762513","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cffi",
"CJES","C&J Energy Services, Inc.","14.33","792953759.92","n/a","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"CHRW","C.H. Robinson Worldwide, Inc.","76.31","11163022162.11","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"BCR","C.R. Bard, Inc.","169.5","12695336599.5","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"BNK","C1 Financial, Inc.","18.67","300605035.22","n/a","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/bnk",
"CA","CA Inc.","30.915","13754273565.42","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"GYB","CABCO Series 2004-101 Trust","20.32","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","17.09","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CAB","Cabela's Inc","51.59","3667398811.23","n/a","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CVC","Cablevision Systems Corporation","20.1","5499962839.2","n/a","1986","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cvc",
"CBT","Cabot Corporation","43.24","2769430071.76","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"CCMP","Cabot Microelectronics Corporation","45.97","1093763290.6","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"COG","Cabot Oil & Gas Corporation","31.78","13125771786.4","n/a","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CACH","Cache, Inc.","0.0873","2709563.6232","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cach",
"CACI","CACI International, Inc.","86.04","2047542922.8","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CDNS","Cadence Design Systems, Inc.","18.985","5557289200","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CDZI","Cadiz, Inc.","11.49","186196495.59","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"CAE","CAE Inc","12.91","3425419491.92","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CACQ","Caesars Acquisition Company","9.46","1290220017.24","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cacq",
"CZR","Caesars Entertainment Corporation","13.49","1947449666.34","n/a","2012","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"CSTE","CaesarStone Sdot-Yam Ltd.","60.49","2123371215.03","n/a","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"PRSS","CafePress Inc.","2.4","41692845.6","n/a","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prss",
"CAP","Cai International, Inc.","22.57","469067254.32","n/a","2007","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cap",
"CLMS","Calamos Asset Management, Inc.","12.98","266488109.58","n/a","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/clms",
"CHY","Calamos Convertible and High Income Fund","13.89","1002141039.87","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/chy",
"CHI","Calamos Convertible Opportunities and Income Fund","12.95","886512827.55","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/chi",
"CFGE","Calamos Focus Growth ETF","10.492","27279200","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfge",
"CHW","Calamos Global Dynamic Income Fund","8.59","506870061.28","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/chw",
"CGO","Calamos Global Total Return Fund","13.5","112767336","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/cgo",
"CSQ","Calamos Strategic Total Return Fund","11.54","1783091560","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/csq",
"CAMP","CalAmp Corp.","19.62","709784872.38","n/a","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"CVGW","Calavo Growers, Inc.","46.07","796753054.07","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cvgw",
"CCC","Calgon Carbon Corporation","20","1064335260","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ccc",
"CFNB","California First National Bancorp","14.35","150099909.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"CRC","California Resources Corporation","6.21","0","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/crc",
"CWT","California Water  Service Group Holding","24.21","1157387859.9","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwt",
"CALA","Calithera Biosciences, Inc.","27.93","500795904.42","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cala",
"CALX","Calix, Inc","10.15","518895059.9","n/a","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"ELY","Callaway Golf Company","7.33","568611636.63","n/a","1992","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/ely",
"CALD","Callidus Software, Inc.","15.89","772709725.2","n/a","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"CPE","Callon Petroleum Company","5.69","314231888.72","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","42","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe^a",
"CALM","Cal-Maine Foods, Inc.","43.63","4012359128.04","n/a","1996","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/calm",
"CPN","Calpine Corporation","21.85","8512094252.35","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cpn",
"CLMT","Calumet Specialty Products Partners, L.P.","22.25","1545312184.25","n/a","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"CAK","CAMAC Energy Inc.","0.33","416382071.49","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cak",
"ABCD","Cambium Learning Group, Inc.","1.65","74112812.4","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"CBM","Cambrex Corporation","23","712898225","n/a","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbm",
"CAMB","CAMBRIDGE CAPITAL ACQUISITION CORPORATION","9.79","103133978.75","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/camb",
"CAMBU","CAMBRIDGE CAPITAL ACQUISITION CORPORATION","10.1801","0","n/a","2013","Finance","Business Services","http://www.nasdaq.com/symbol/cambu",
"CAMBW","CAMBRIDGE CAPITAL ACQUISITION CORPORATION","0.45","0","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/cambw",
"CAC","Camden National Corporation","39","289437408","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cac",
"CPT","Camden Property Trust","75.06","6485067732.06","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cpt",
"CCJ","Cameco Corporation","16.44","6506812621.68","n/a","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ccj",
