"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"OIIM","O2Micro International Limited","2.16","58354927.2","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oiim",
"OVLY","Oak Valley Bancorp (CA)","10.23","82605766.65","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovly",
"OAK","Oaktree Capital Group, LLC","51.8","7917765716","n/a","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/oak",
"OAS","Oasis Petroleum Inc.","17.16","1738964301.36","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oas",
"OCAT","Ocata Therapeutics, Inc.","6.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ocat",
"OXY","Occidental Petroleum Corporation","81.52","63212897815.28","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oxy",
"OBCI","Ocean Bio-Chem, Inc.","4.74","42253658.76","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/obci",
"OPTT","Ocean Power Technologies, Inc.","0.6265","11318731.7915","n/a","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/optt",
"ORIG","Ocean Rig UDW Inc.","9.92","1309610405.76","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/orig",
"OSHC","Ocean Shore Holding Co.","13.92","89378134.56","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/oshc",
"OII","Oceaneering International, Inc.","58.97","6192500321.16","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/oii",
"OCFC","OceanFirst Financial Corp.","17.23","293098048.22","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ocfc",
"OCRX","Ocera Therapeutics, Inc.","5.99","118253130.42","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocrx",
"OZM","Och-Ziff Capital Management Group LLC","11.57","5485142103.35","n/a","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/ozm",
"OCIP","OCI Partners LP","16.43","1322615000","n/a","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ocip",
"OCIR","OCI Resources LP","24.8201","485899349.8649","n/a","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/ocir",
"OCLR","Oclaro, Inc.","1.91","207562299.51","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oclr",
"OFED","Oconee Federal Financial Corp.","19.01","110911848.95","n/a","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ofed",
"OCUL","Ocular Therapeutix, Inc.","21.74","463549693.42","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocul",
"OCLS","Oculus Innovative Sciences, Inc.","1.57","13597110.6","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ocls",
"OCN","Ocwen Financial Corporation","21.9","2755344360.9","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ocn",
"OMEX","Odyssey Marine Exploration, Inc.","1.01","86174218.08","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/omex",
"ODP","Office Depot, Inc.","8.65","4659075776.05","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/odp",
"OFG","OFG Bancorp","16.4","732726990","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ofg",
"OFG^A","OFG Bancorp","23.5303","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ofg^a",
"OFG^B","OFG Bancorp","22.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofg^b",
"OFG^D","OFG Bancorp","23.32","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofg^d",
"OFS","OFS Capital Corporation","12.14","117006060.54","n/a","2012","n/a","n/a","http://www.nasdaq.com/symbol/ofs",
"OGE","OGE Energy Corporation","34.81","6938297731.76","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/oge",
"OHAI","OHA Investment Corporation","4.62","95247869.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ohai",
"OVBC","Ohio Valley Banc Corp.","24.236","99337377.708","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovbc",
"OHRP","Ohr Pharmaceuticals, Inc.","8.74","217299517.3","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ohrp",
"OIBR/C","Oi S.A.","0.36","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/oibr/c",
"OIBR","Oi S.A.","0.3963","3402124575.63","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/oibr",
"OIS","Oil States International, Inc.","48.68","2588454386.68","n/a","2001","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/ois",
"ODC","Oil-Dri Corporation Of America","31.03","219690414.08","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/odc",
"OILT","Oiltanking Partners, L.P.","43.9","3649340886.6","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/oilt",
"ODFL","Old Dominion Freight Line, Inc.","77.24","6655378189.08","n/a","1991","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/odfl",
"OLBK","Old Line Bancshares, Inc.","15.82","170719473.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/olbk",
"ONB","Old National Bancorp","14.68","1673285120","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/onb",
"OPOF","Old Point Financial Corporation","15.04","74583495.36","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/opof",
"ORI","Old Republic International Corporation","14.42","3762020879.68","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ori",
"OSBC","Old Second Bancorp, Inc.","5.1","150156790.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/osbc",
"OSBCP","Old Second Bancorp, Inc.","9.96","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/osbcp",
"OLN","Olin Corporation","22.26","1740605652.24","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/oln",
"ZEUS","Olympic Steel, Inc.","18.17","199545411.12","n/a","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/zeus",
"OMAM","OM Asset Management plc","16.68","2001600000","n/a","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/omam",
"OMG","OM Group, Inc.","30.04","925744031.8","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/omg",
"OFLX","Omega Flex, Inc.","37.94","382883726.68","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/oflx",
"OHI","Omega Healthcare Investors, Inc.","38.78","4941628056.96","n/a","1992","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ohi",
"OME","Omega Protein Corporation","9.26","199819067.58","n/a","1998","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ome",
"OMER","Omeros Corporation","23.13","788176122.12","n/a","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/omer",
"OCR","Omnicare, Inc.","73.59","7203272595.09","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/ocr",
"OCR^A","Omnicare, Inc.","84.31","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ocr^a",
"OCR^B","Omnicare, Inc.","90.24","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ocr^b",
"OMCL","Omnicell, Inc.","32.66","1162842316.8","n/a","2001","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/omcl",
"OMC","Omnicom Group Inc.","76.71","19037862715.83","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/omc",
"OVTI","OmniVision Technologies, Inc.","26.79","1553433313.14","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ovti",
"OMN","OMNOVA Solutions Inc.","7.62","361359008.04","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/omn",
"ASGN","On Assignment, Inc.","32.47","1699711668.27","n/a","1992","Technology","Professional Services","http://www.nasdaq.com/symbol/asgn",
"ONDK","On Deck Capital, Inc.","24.15","1597779359.4","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/ondk",
"ONNN","ON Semiconductor Corporation","10.08","4393642861.44","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/onnn",
"OTIV","On Track Innovations Ltd","1.68","56418003.6","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/otiv",
"OGXI","OncoGenex Pharmaceuticals Inc.","2.03","43200160.01","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/ogxi",
