ticker,dimension,calendardate,datekey,reportperiod,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,currentratio,de,debt,debtusd,depamor,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netmargin,payables,payoutratio,pb,pe,pe1,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxexp,tbvps,workingcapital
MMM,ARQ,2003-12-31,2004-03-02,2003-12-31,-1554000000,17600000000,,7720000000,9880000000,,10.073,,1836000000,1836000000,,1.519,1.232,2937000000,2937000000,,0.017,0.36,,,,,,,,,,7885000000,,7885000000,62466564820,16,13.425,,,1.0,,,2693000000,,10926000000,,1816000000,9715000000,5082000000,,61365564820,,,,,,,,,,,,,,1087000000,,7.783,25.537,25.508,,78.31,3.366,3.362,2714000000,14010000000,,,,,,,,,1.0,783623609,782800000,,23.291,14907000000,,19.043,2638000000
MMM,ARQ,2004-03-31,2004-05-04,2004-03-31,-1570000000,17978000000,,8063000000,9915000000,,10.347,-148000000,1818000000,1818000000,2436000000,1.562,1.219,2824000000,2824000000,252000000,0.016,0.0,1107000000,1359000000,0.275,1359000000,1107000000,1088000000,0.92,0.9,0.92,8101000000,,8101000000,68658874321,,,794000000,1.014,1.0,2503000000,0.507,2816000000,19000000,11005000000,,1880000000,9877000000,5163000000,,67652874321,-18000000,-304000000,-133000000,-282000000,-731000000,-219000000,942000000,-10000000,722000000,722000000,722000000,0,0.146,1066000000,0.0,8.351,,,0,86.5,,,2904000000,14383000000,4939000000,4939000000,282000000,,,,,1104000000,1.0,782114154,782900000,799500000,,15162000000,366000000,19.366,2900000000
MMM,ARQ,2004-06-30,2004-08-04,2004-06-30,-1624000000,18362000000,,8627000000,9735000000,,10.808,-210000000,2314000000,2314000000,2452000000,1.542,1.171,2661000000,2661000000,245000000,0.017,0.36,1178000000,1423000000,0.284,1423000000,1178000000,1162000000,0.99,0.97,0.99,8457000000,,8457000000,65452260577,,,1085000000,1.387,1.0,2560000000,0.511,2799000000,16000000,10316000000,,1940000000,9905000000,5594000000,,65105260577,496000000,-136000000,-153000000,-282000000,-582000000,-216000000,1295000000,-1000000,773000000,773000000,773000000,0,0.154,1108000000,0.364,7.698,,,0,83.18,,,2913000000,14763000000,5012000000,5012000000,290000000,,,,,1084000000,1.0,782703301,782500000,799700000,,15563000000,389000000,19.889,3033000000
MMM,ARQ,2004-09-30,2004-11-01,2004-09-30,-1540000000,18064000000,,8297000000,9767000000,,11.14,-220000000,2200000000,2200000000,2457000000,1.573,1.077,2661000000,2661000000,243000000,0.018,0.36,1181000000,1424000000,0.287,1424000000,1181000000,1164000000,0.99,0.97,0.99,8696000000,,8696000000,60338032866,,,502000000,0.643,1.0,2512000000,0.506,2789000000,17000000,10463000000,,1953000000,9368000000,5273000000,,59877032866,-114000000,-372000000,15000000,-281000000,-646000000,-212000000,722000000,22000000,775000000,775000000,775000000,0,0.156,1116000000,0.364,6.886,,,0,76.91,,,2853000000,15233000000,4969000000,4969000000,282000000,,,,,1047000000,1.0,778533778,780600000,796200000,,15275000000,389000000,19.568,3024000000
MMM,ARQ,2004-12-31,2005-02-24,2004-12-31,132000000,20708000000,,8720000000,11988000000,,13.374,-290000000,2757000000,2757000000,2613000000,1.436,0.995,2821000000,2821000000,259000000,0.018,0.78,1096000000,1355000000,0.266,1355000000,1096000000,1079000000,0.93,0.91,0.93,10378000000,,10378000000,65156059580,14,11.717,1033000000,1.331,1.0,2478000000,0.487,2932000000,17000000,11769000000,,1897000000,10330000000,6071000000,,65092059580,557000000,-471000000,160000000,-280000000,-575000000,-291000000,1323000000,100000000,720000000,720000000,720000000,0,0.141,1168000000,0.839,6.272,21.77,22.003,0,84.27,3.253,3.287,2792000000,15649000000,5091000000,5091000000,289000000,,,,,1097000000,1.0,772422684,776000000,790500000,25.639,17776000000,359000000,22.907,2649000000
MMM,ARQ,2005-03-31,2005-05-06,2005-03-31,-35000000,20755000000,,8922000000,11833000000,,13.334,-215000000,2669000000,2669000000,2537000000,1.43,1.017,2908000000,2908000000,242000000,0.019,0.0,1225000000,1467000000,0.284,1467000000,1225000000,1205000000,1.05,1.03,1.05,10290000000,,10290000000,59749863952,12,10.54,788000000,1.021,1.0,2629000000,0.509,2850000000,20000000,11907000000,,1980000000,10465000000,6237000000,,59510863952,-88000000,-476000000,107000000,-324000000,-750000000,-302000000,1003000000,-39000000,809000000,809000000,809000000,0,0.157,1201000000,0.0,5.783,19.341,19.528,0,77.33,2.941,2.949,2899000000,16051000000,5166000000,5166000000,291000000,,,,,1114000000,1.0,769570205,771700000,787000000,26.225,17905000000,396000000,23.202,2685000000
MMM,ARQ,2005-06-30,2005-08-03,2005-06-30,-291000000,19557000000,,7948000000,11609000000,,13.151,-209000000,1765000000,1765000000,2594000000,1.498,0.936,1809000000,1809000000,237000000,0.021,0.42,1287000000,1524000000,0.288,1524000000,1287000000,1268000000,1.01,1.0,1.01,10100000000,,10100000000,56804690863,11,9.845,959000000,1.249,1.0,2700000000,0.51,2752000000,19000000,11543000000,,2020000000,9457000000,5306000000,,56760690863,-904000000,-422000000,-1098000000,-323000000,-1822000000,-181000000,1168000000,-69000000,776000000,776000000,776000000,0,0.147,1201000000,0.416,5.62,18.429,18.641,0,74.19,2.766,2.777,2951000000,16446000000,5294000000,5294000000,296000000,,,,,1121000000,1.0,765071989,768000000,780200000,26.719,16805000000,492000000,21.882,2642000000
MMM,ARQ,2005-09-30,2005-10-27,2005-09-30,-283000000,21366000000,,8167000000,13199000000,,13.444,-204000000,1848000000,1848000000,2632000000,1.187,1.085,3270000000,3270000000,255000000,0.022,0.42,1290000000,1545000000,0.287,1545000000,1290000000,1270000000,1.12,1.1,1.12,10247000000,,10247000000,58272547781,11,9.892,712000000,0.934,1.0,2750000000,0.511,3980000000,20000000,11929000000,,2098000000,11119000000,6879000000,,56850547781,83000000,-444000000,1399000000,-321000000,653000000,-1481000000,916000000,-5000000,853000000,853000000,853000000,0,0.158,1249000000,0.375,5.548,18.002,18.202,0,74.81,2.716,2.724,3061000000,16944000000,5382000000,5382000000,295000000,,,,,1165000000,1.0,759932466,762200000,772300000,27.464,17386000000,417000000,22.81,1288000000
MMM,ARQ,2005-12-31,2006-02-21,2005-12-31,-411000000,20513000000,,7115000000,13398000000,,13.33,-274000000,1072000000,1072000000,2618000000,1.358,1.031,2381000000,2381000000,252000000,0.023,0.42,1173000000,1425000000,0.268,1425000000,1173000000,1150000000,1.0,0.99,1.0,10100000000,,10100000000,56574183088,11,9.491,897000000,1.184,1.0,2707000000,0.508,3959000000,23000000,12625000000,,2162000000,10413000000,5238000000,,55265183088,-776000000,-490000000,-893000000,-318000000,-1760000000,-277000000,1171000000,90000000,761000000,761000000,761000000,0,0.143,1256000000,0.42,5.472,17.276,17.512,0,73.2,2.611,2.645,2838000000,17358000000,5325000000,5325000000,360000000,,,,,1135000000,1.0,754988840,757700000,768200000,27.673,16554000000,389000000,21.848,1877000000
MMM,ARQ,2006-03-31,2006-05-02,2006-03-31,-330000000,21613000000,,7921000000,13692000000,,14.567,-174000000,912000000,912000000,2721000000,1.452,0.967,2634000000,2634000000,246000000,0.02,0.46,1364000000,1610000000,0.288,1610000000,1364000000,1342000000,1.19,1.17,1.19,10989000000,,10989000000,65429227044,12,10.719,444000000,0.589,1.0,2874000000,0.514,3974000000,22000000,13904000000,,2379000000,10624000000,5457000000,,63707227044,-160000000,-151000000,269000000,-347000000,-228000000,-588000000,618000000,38000000,899000000,899000000,899000000,0,0.161,1342000000,0.387,5.797,19.37,19.56,0,84.5,2.95,2.952,3105000000,16215000000,5595000000,5595000000,322000000,,,,,1183000000,1.0,753931681,754400000,768600000,28.627,17639000000,443000000,23.381,2464000000
MMM,ARQ,2006-06-30,2006-08-04,2006-06-30,-187000000,22033000000,,8101000000,13932000000,,15.259,-252000000,987000000,987000000,2840000000,1.493,0.912,2711000000,2711000000,233000000,0.025,0.46,1179000000,1412000000,0.248,1412000000,1179000000,1154000000,1.17,1.15,1.17,11522000000,,11522000000,54036154498,10,9.018,548000000,0.726,1.0,2848000000,0.501,4073000000,25000000,14258000000,,2557000000,10511000000,5426000000,,52312154498,75000000,-252000000,72000000,-348000000,-523000000,-251000000,800000000,49000000,882000000,882000000,882000000,0,0.155,1343000000,0.393,4.54,15.409,15.502,0,69.45,2.379,2.385,3171000000,16591000000,5688000000,5688000000,351000000,,,,,1322000000,1.0,753234766,755100000,770400000,29.122,17960000000,272000000,23.785,2675000000
MMM,ARQ,2006-09-30,2006-10-27,2006-09-30,-138000000,22683000000,,8309000000,14374000000,,14.738,-284000000,999000000,999000000,2990000000,1.211,1.065,3800000000,3800000000,249000000,0.023,0.46,1343000000,1592000000,0.272,1592000000,1343000000,1306000000,1.2,1.18,1.2,10983000000,,10983000000,60937104463,12,10.091,815000000,1.094,1.0,2868000000,0.49,4492000000,37000000,14129000000,,2632000000,11700000000,6863000000,,58136104463,12000000,-1192000000,1078000000,-342000000,-487000000,-590000000,1099000000,-10000000,894000000,894000000,894000000,0,0.153,1373000000,0.383,5.293,16.92,17.314,0,78.95,2.588,2.619,3332000000,17127000000,5858000000,5858000000,340000000,,,,,1186000000,1.0,736366111,745200000,756200000,30.148,18191000000,412000000,24.411,1446000000
MMM,ARQ,2006-12-31,2007-02-26,2006-12-31,-1873000000,21294000000,,8946000000,12348000000,,13.546,-409000000,1447000000,1447000000,3162000000,1.222,1.138,3553000000,3553000000,351000000,0.024,0.48,1810000000,2161000000,0.374,2161000000,1810000000,1772000000,1.59,1.56,1.59,9959000000,,9959000000,57969364564,10,8.556,913000000,1.242,1.0,2620000000,0.453,4790000000,38000000,11287000000,,2601000000,11335000000,7323000000,,55863364564,448000000,-233000000,-284000000,-339000000,-823000000,-31000000,1322000000,-20000000,1176000000,1176000000,1176000000,0,0.203,1402000000,0.302,5.609,14.506,14.781,0,76.12,2.437,2.482,3102000000,17933000000,5782000000,5782000000,509000000,,,,,1375000000,1.0,733885504,735200000,748700000,30.666,16504000000,596000000,22.448,1623000000
MMM,ARQ,2007-03-31,2007-05-04,2007-03-31,-1749000000,22739000000,,9726000000,13013000000,,13.786,-300000000,1697000000,1697000000,3022000000,1.296,1.262,4602000000,4602000000,254000000,0.022,0.0,2114000000,2368000000,0.399,2368000000,2114000000,2076000000,1.88,1.85,1.88,10054000000,,10054000000,63553437029,9,8.437,280000000,0.384,1.0,2915000000,0.491,4851000000,38000000,13289000000,,2714000000,12685000000,7504000000,,60648437029,250000000,-1066000000,1061000000,-350000000,-364000000,13000000,580000000,21000000,1368000000,1368000000,1368000000,0,0.23,1441000000,0.0,6.032,14.039,14.42,0,84.21,2.607,2.64,3444000000,18905000000,5937000000,5937000000,319000000,,,,,1281000000,1.0,720204691,729300000,741300000,31.9,17888000000,708000000,24.528,2222000000
MMM,ARQ,2007-06-30,2007-08-07,2007-06-30,-1658000000,22816000000,,9454000000,13362000000,,14.298,-325000000,1348000000,1348000000,3175000000,1.282,1.221,4435000000,4435000000,279000000,0.021,0.48,1410000000,1689000000,0.275,1689000000,1410000000,1362000000,1.28,1.25,1.28,10272000000,,10272000000,66099905887,9,8.463,779000000,1.084,1.0,2967000000,0.483,4987000000,48000000,13541000000,,2779000000,12544000000,7375000000,,63012905887,-349000000,-650000000,-173000000,-346000000,-1125000000,-364000000,1104000000,36000000,917000000,917000000,917000000,0,0.149,1472000000,0.375,6.134,14.469,14.795,0,88.03,2.657,2.666,3620000000,19319000000,6142000000,6142000000,352000000,,,,,1286000000,1.0,715811722,718400000,731700000,33.016,17829000000,445000000,24.818,2079000000
MMM,ARQ,2007-09-30,2007-10-29,2007-09-30,-1353000000,24355000000,,10400000000,13955000000,,15.353,-316000000,1675000000,1675000000,3240000000,1.456,1.22,5229000000,5229000000,263000000,0.022,0.48,1446000000,1709000000,0.277,1709000000,1446000000,1393000000,1.34,1.32,1.34,10970000000,,10970000000,64870294808,9,8.183,719000000,1.006,1.0,2937000000,0.475,5135000000,53000000,15633000000,,2794000000,13385000000,7141000000,,61316294808,327000000,-351000000,740000000,-343000000,52000000,-827000000,1035000000,67000000,960000000,960000000,960000000,0,0.155,1503000000,0.358,5.589,13.869,14.117,0,85.97,2.551,2.555,3703000000,19852000000,6177000000,6177000000,338000000,,,,,1174000000,1.0,713228973,714500000,729900000,33.643,19220000000,433000000,26.9,3259000000
MMM,ARQ,2007-12-31,2008-02-15,2007-12-31,-747000000,24694000000,,9838000000,14856000000,,16.519,-378000000,1896000000,1896000000,3298000000,1.835,1.102,4920000000,4920000000,276000000,0.024,0.48,1300000000,1576000000,0.254,1576000000,1300000000,1229000000,1.2,1.18,1.2,11747000000,,11747000000,59601627428,9,8.118,1178000000,1.657,1.0,2908000000,0.469,5390000000,71000000,16966000000,,2852000000,12947000000,5362000000,,56577627428,221000000,-376000000,-406000000,-341000000,-1110000000,-189000000,1556000000,-36000000,851000000,851000000,851000000,0,0.137,1505000000,0.4,4.816,13.813,14.026,0,79.95,2.313,2.348,3362000000,20316000000,6206000000,6206000000,359000000,,,,,1274000000,1.0,707662632,711100000,725100000,34.055,19304000000,378000000,27.147,4476000000
MMM,ARQ,2008-03-31,2008-05-02,2008-03-31,-355000000,26769000000,,11325000000,15444000000,,17.601,-294000000,2727000000,2727000000,3336000000,1.69,1.153,6182000000,6182000000,268000000,0.025,0.5,1513000000,1781000000,0.276,1781000000,1513000000,1458000000,1.4,1.38,1.4,12435000000,,12435000000,58776783203,10,8.701,703000000,0.995,1.0,3127000000,0.484,5552000000,55000000,17972000000,,3021000000,14334000000,6700000000,,55321783203,831000000,-431000000,1122000000,-353000000,315000000,-464000000,997000000,-17000000,988000000,988000000,988000000,0,0.153,1557000000,0.357,4.449,14.887,15.048,0,78.55,2.214,2.221,3776000000,20929000000,6463000000,6463000000,351000000,,,,,1275000000,1.0,704287501,706500000,717200000,35.369,21217000000,470000000,30.031,4625000000
MMM,ARQ,2008-06-30,2008-08-01,2008-06-30,-451000000,27358000000,,10539000000,16819000000,,17.854,-332000000,1547000000,1547000000,3510000000,1.508,1.183,6008000000,6008000000,285000000,0.028,0.5,1449000000,1734000000,0.257,1734000000,1449000000,1398000000,1.35,1.33,1.35,12535000000,,12535000000,53495176700,9,7.867,911000000,1.298,1.0,3229000000,0.479,6768000000,51000000,18064000000,,3175000000,14823000000,6987000000,,49034176700,-1180000000,-434000000,-809000000,-351000000,-1432000000,-1003000000,1243000000,12000000,945000000,945000000,945000000,0,0.14,1658000000,0.37,3.912,13.097,13.261,0,70.15,1.917,1.925,3943000000,21437000000,6739000000,6739000000,363000000,,,,,1394000000,1.0,698990402,702100000,712000000,36.441,20590000000,453000000,29.326,3552000000
